index,title,salaryrange,company,location,size,industry,sector,easyapply,latitude,longitude
1,"Data Analyst, Center on Immigration and Justice (CIJ)",$37K-$66K (Glassdoor est.),"Vera Institute of Justice
3.2","New York, NY",201 to 500 employees,Social Assistance,Non-Profit,TRUE,40.7128,-74.006
2,Quality Data Analyst,$37K-$66K (Glassdoor est.),"Visiting Nurse Service of New York
3.8","New York, NY",10000+ employees,Health Care Services & Hospitals,Health Care,FALSE,40.7128,-74.006
3,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",$37K-$66K (Glassdoor est.),"Squarespace
3.4","New York, NY",1001 to 5000 employees,Internet,Information Technology,FALSE,40.7128,-74.006
4,Data Analyst,$37K-$66K (Glassdoor est.),"Celerity
4.1","New York, NY",201 to 500 employees,IT Services,Information Technology,FALSE,40.7128,-74.006
5,Reporting Data Analyst,$37K-$66K (Glassdoor est.),"FanDuel
3.9","New York, NY",501 to 1000 employees,Sports & Recreation,"Arts, Entertainment & Recreation",TRUE,40.7128,-74.006
6,Data Analyst,$37K-$66K (Glassdoor est.),"Point72
3.9","New York, NY",1001 to 5000 employees,Investment Banking & Asset Management,Finance,FALSE,40.7128,-74.006
7,Business/Data Analyst (FP&A),$37K-$66K (Glassdoor est.),"Two Sigma
4.4","New York, NY",1001 to 5000 employees,Investment Banking & Asset Management,Finance,FALSE,40.7128,-74.006
8,Data Science Analyst,$37K-$66K (Glassdoor est.),"GNY Insurance Companies
3.7","New York, NY",201 to 500 employees,Insurance Carriers,Insurance,TRUE,40.7128,-74.006
9,Data Analyst,$37K-$66K (Glassdoor est.),"DMGT
4.0","New York, NY",5001 to 10000 employees,Venture Capital & Private Equity,Finance,FALSE,40.7128,-74.006
10,"Data Analyst, Merchant Health",$37K-$66K (Glassdoor est.),"Riskified
4.4","New York, NY",501 to 1000 employees,Research & Development,Business Services,FALSE,40.7128,-74.006
11,Data Analyst,$37K-$66K (Glassdoor est.),"NYU Langone Health
4.0","New York, NY",10000+ employees,Health Care Services & Hospitals,Health Care,FALSE,40.7128,-74.006
12,Data Analyst,$37K-$66K (Glassdoor est.),BulbHead,"Fairfield, NJ",1 to 50 employees,-1,-1,FALSE,,
13,DATA ANALYST,$37K-$66K (Glassdoor est.),"Montefiore Medical
3.7","New York, NY",10000+ employees,Health Care Services & Hospitals,Health Care,FALSE,40.7128,-74.006
14,Senior Data Analyst,$37K-$66K (Glassdoor est.),"Known
3.0","New York, NY",201 to 500 employees,Advertising & Marketing,Business Services,TRUE,40.7128,-74.006
15,Investment Advisory Data Analyst,$37K-$66K (Glassdoor est.),"Advisor Group
3.4","Jersey City, NJ",1001 to 5000 employees,Brokerage Services,Finance,FALSE,,
16,Sustainability Data Analyst,$37K-$66K (Glassdoor est.),"CodeGreen Solutions
3.6","New York, NY",1 to 50 employees,Building & Personnel Services,Business Services,FALSE,40.7128,-74.006
17,Data Analyst,$37K-$66K (Glassdoor est.),"Undertone
3.8","New York, NY",201 to 500 employees,Advertising & Marketing,Business Services,TRUE,40.7128,-74.006
